post_time,likes,reposts,comments,user_id,repost_message,source,message,type,message_id,quarter
2020-01-10 15:48:00,30897,14237,10470,194,回忆起#脱贫攻坚战星光行动#的点点滴滴还是充满感动。#星光大电影#1月17日20：15  CCTV-6    电影频道全国首播！  ,人民日报,【纪录电影《星光》，看中国人用梦想的“星光”创造的世界减贫奇迹！】一个萦绕中国人心头千年的梦想，如今实现在即。大型公益项目#脱贫攻坚战星光行动#纪录电影《星光》将于17日在CCTV6电影频道首播。这次，中国电影人再度集结，走过万水千山为你讲述中国扶贫故事！#决胜脱贫#  人民日报的微博视频  ,3,4.0,2020-01-01
2020-01-10 17:43:00,52438,48815,22569,48,用镜头记录#脱贫攻坚战星光行动#的每个温暖瞬间，感动常在。#星光大电影#1月17日20：15 CCTV-6电影频道全国首播 ！   ,人民日报,【纪录电影《星光》，看中国人用梦想的“星光”创造的世界减贫奇迹！】一个萦绕中国人心头千年的梦想，如今实现在即。大型公益项目#脱贫攻坚战星光行动#纪录电影《星光》将于17日在CCTV6电影频道首播。这次，中国电影人再度集结，走过万水千山为你讲述中国扶贫故事！#决胜脱贫#  人民日报的微博视频  ,3,4.0,2020-01-01
2020-01-12 13:28:00,46282,11193,9502,118,#脱贫攻坚战星光行动#纪录电影《星光》，把温暖的故事，讲给你们听。#星光大电影#1月17日20：15   ， CCTV-6电影频道全国首播  ,人民日报,【纪录电影《星光》，看中国人用梦想的“星光”创造的世界减贫奇迹！】一个萦绕中国人心头千年的梦想，如今实现在即。大型公益项目#脱贫攻坚战星光行动#纪录电影《星光》将于17日在CCTV6电影频道首播。这次，中国电影人再度集结，走过万水千山为你讲述中国扶贫故事！#决胜脱贫#  人民日报的微博视频  ,3,4.0,2020-01-01
2020-01-14 17:59:00,36555,960,0,69,一桌年夜饭  ,人民日报数字传播,【重磅二：#一桌年夜饭# 预告正片来啦！】15秒预告片不过瘾？快戳这个视频吧！@杜江侦察记 、@董冬咚d 、@郭德纲 、@郭麒麟 、@Johnny黄景瑜 、@黄圣依 、@霍思燕 、@宋祖儿lareina 、@王子文Olivia 、@杨蓉 、@努力努力再努力x 、@郑云龙DL ！快来#康康我家年夜饭# ！  人民日报数字传播的酷燃视频  ,0,5.0,2020-01-01
2020-01-16 15:13:00,799249,419601,120895,90,大年三十，不管你在哪里，我在春晚陪你过年🧧  ,央视新闻,【#吴磊说春晚首秀后自己成全村骄傲#】#鼠年春晚#彩排间隙，演员@吴磊LEO 接受央视独家专访。他说，2019年#春晚#“首秀”后，自己成了“全村的骄傲”，“老有面儿了”！趁彩排“偷瞄了一下”其他节目的吴磊称，今年的春晚像一部好电影，“眼前一亮”。而对于自己的节目，他说：“这次不唱歌了！”“记得看春晚，记得看我！”你期待吗？ http://t.cn/A6vMUBaX ,0,6.0,2020-01-01
2020-01-17 19:18:00,13476,141,161,10,永远不变的“女排精神”🇨🇳  ,共青团中央,【荆棘与荣耀！这就是新时代的中国女排】升国旗、奏国歌，是她们的目标；走过荆棘，勇攀高峰，是永远不变的“女排精神”！http://t.cn/A6viANzQ  ，郎平、朱婷、惠若琪等与你相约“弘扬女排精神”青春分享会，记得要来看直播哟~转发本条微博即有机会获得《荆棘与荣耀：新时代女排奋斗记》！共十本。#致敬中国女排# [组图共10张] 原图 ,2,7.0,2020-01-01
2020-01-21 08:52:00,56917,26669,23713,60,出门戴上口罩。 勤洗手，通风。 多穿衣服，别着凉。 尽量少去人多的场合。 尊重医护人员。 一定要照顾好自己，照顾好家人。 🙏🙏🙏  ,央视新闻,【#境内确诊217例新型冠状病毒肺炎病例#】截至今日18时，我国境内累计报告新型冠状病毒感染的肺炎病例224例，其中确诊病例217例（武汉198例，北京5例，广东14例）；疑似病例7例（四川2例，云南1例，上海2例，广西壮族自治区1例，山东1例）。日本通报确诊病例1例，泰国通报确诊病例2例，韩国通报确诊病例1例。http://t.cn/A6vnCiQO ,5,8.0,2020-01-01
2020-01-22 08:11:00,4302,446,158,161,致敬  ,央视新闻,【#我愿意为你# 挡在疫情之前】转发微博，#致敬疫情前线医护人员#！也请你们为自己做好防护！注意安全！ 央视新闻的微博视频  ,6,9.0,2020-01-01
2020-01-22 14:02:00,148444,54987,57333,59,大家一定要减少外出，戴好口罩，有问题及时就医，希望所有人都能平平安安的。坚守岗位的医护工作者们，你们辛苦了。武汉，加油！  ,人民日报,【今天，转发#武汉新型肺炎防治倡议#！】让我们一起努力，早日打赢这场看不见硝烟的战争！#武汉加油#！  [组图共10张] 原图 ,6,10.0,2020-01-01
2020-01-22 14:13:00,914471,391157,153427,131,大家一定一定要加强个人卫生意识，提醒家中长辈们做好健康防护，平安健康地过年。也向广大奋战中的医护工作者致敬，你们辛苦了！  ,人民日报,【#国家卫健委提示4点个人卫生建议#】①一定要戴口罩，打喷嚏要用手绢或者纸捂住口鼻；②要勤洗手；③如果不小心用手捂住自己的口鼻，打了一个喷嚏之后一定要先洗手；④#打喷嚏后不揉眼或接触黏膜部位#。转给更多人，注意做好个人防护和个人的卫生！ 人民日报的微博视频  ,5,11.0,2020-01-01
2020-01-22 16:18:00,2692,1086,1164,193,✌🏻️大夥兒辛苦了 ✌🏻️ ❤有你們真好❤  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 16:22:00,120762,77372,61989,171,向所有奔赴在最前线的医护人员致敬！大家都要注意预防，做好个人卫生防护，😷口罩不能少，愿大家都平安🙏🏻  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 16:49:00,16494,3712,5787,106,感谢有你！#抗击新型肺炎第一线# 愿医护人员做好防护！注意安全！  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 17:08:00,3642,133,112,56,致敬每一位英雄愿你们平安你们辛苦了  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 17:32:00,1918,164,257,135,听从建议，分享给更多的人们  ,人民日报,【#国家卫健委提示4点个人卫生建议#】①一定要戴口罩，打喷嚏要用手绢或者纸捂住口鼻；②要勤洗手；③如果不小心用手捂住自己的口鼻，打了一个喷嚏之后一定要先洗手；④#打喷嚏后不揉眼或接触黏膜部位#。转给更多人，注意做好个人防护和个人的卫生！ 人民日报的微博视频  ,5,11.0,2020-01-01
2020-01-22 17:49:00,2944,132,191,44,#致敬疫情前线医护人员# 伟大的英雄们一定要保护好自己，愿所有人在新的一年都要健康平安  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
